Name,Volume,Price
M2 Browning,5321,520515
M45 Quadmount,8523,515
NSV machine gun,3578,7526
Kord machine gun,3698,783375
MG 18 TuF,3698,787
Hotchkiss M1929 machine gun,8635,26397
Breda Model 1931 Machine Gun,9548,52798
ZPU-1,9658,37952
Type 58,8521,87353
ZPU-2,2256,827523
Type 56,1000,87523
ZPU-4,2220,8566
Becker Type M2,3255,35369
Madsen 20 mm cannon,1236,5563
Solothurn ST-5,1235,85332
M/40 Automatic cannon,3214,86547
Oerlikon 20 mm cannon,1000,2587
Hispano-Suiza HS.404,2500,72537
2 cm FlaK 30,1452,5723
2 cm FlaK 38,2512,87375
2 cm GebFlaK 38,254,72538
Cannone-Mitragliera da 20/77 (Scotti),2587,52536
Breda Model 35,1233,5724538
Nkm wz.38 FK,786,7548
Polsten,9653,27453
Oerlikon GAI-BO1,8965,78375
Type 98 20 mm AA Machine Cannon,6488,524275
Rheinmetall Rh202,4553,8752
Tarasque,3559,3752
20 mm modèle F2 gun,9852,8786
TCM-20,7842,24534
20 ITK 40 VKT,1000,46658
Type 2 20 mm AA Machine Cannon,2536,257327
Type 4 20 mm Twin AA Machine Cannon,9855,783733
Zastava M55,5622,87378752
FlaKv 38,8755,78375
M167 VADS,1452,82737
ZU-23-2,2547,733788
Type 85/YW 306,10000,87375378
Mitrailleuse de 25,8965,512554
Bofors 25 mm M/32,7555,222665
25 mm automatic air defense gun M1940 (72-K),2544,2223554
Type 61 25 mm,253,421536
Type 96 25 mm AT/AA Gun,365,33256
3 cm MK 303 Flak,485,2214896
PLDvK vzor 53,985,2536
Artemis 30,978,45866
Oerlikon 35 mm twin cannon,9000,522148
Skyshield,6855,554268
NBS C-RAM,365,666666
3.7 cm SockelFlak L/14.5,455,65488
Cannone-Mitragliera da 37/54 (Breda),9856,523354
Canon de 37 mm Modèle 1925,6358,784589
QF 1 pounder pom-pom,555,24545886
3.7 cm FlaK 36,222,23654
3.7 cm FlaK 37,3589,2125
3.7 cm FlaK 43,666,4478533
37 mm Gun M1,8524,44523
37-mm air-defense gun M1939 (61-K),3698,6665
Type 55,5784,211554
Type 63,2566,784453
Type 74,8541,23569
Flaming onion,2115,112458
Vickers Type 40 mm AT/AA Gun,3215,6221
Bofors L/60,3655,124563
Bofors (Chrysler) 40 mm/56,2534,125
Bofors L/70,256,2245
Breda L/70,357,4635
45 mm anti-aircraft gun (21-K),456,11134
5 cm FlaK 41,9685,7635
Bofors 57 mm L/60,365,46132
S-60,321,47859
Type 59,123,4312
75 mm FRC M27,3669,45278
Canon de 75 antiaérien mle 1913-1917,8566,461328
Canon de 75 CA modèle 1940 Schneider,7543,76435
PLK vzor CS,585,796485
75 mm armata wz.36,999,664231
Bofors 75 mm Model 1929,855,66453
7.5 cm Flak. L/60,6895,22543
7.5 cm L/45 M/16 anti aircraft gun,5877,77682
7.5 cm L/45 M/32 anti aircraft gun,5555,6421332
Type 4 75 mm AA Gun,7845,22413
Type 11 75 mm AA Gun,789,135224
Type 88,587,4678
7.5 cm kanon PL vz. 37,563,1345
Cannone da 75/46 C.A. modello 34,222,12455
75 mm Gun M1916,365,3468
Skysweeper,8965,478552
Vickers Model 1931,368,2231
Cannone da 76/40 C.A.,542,51145
Cannone da 76/40 modificata 35,778,4625521
Cannone da 76/45 C.A.,7866,4352216
QF 3 inch 20 cwt,9999,778
QF 12 pounder 12 cwt AA gun,5542,56453
QF 13 pounder 6 cwt AA gun 13 pounder Mk III,785,7986321
QF 13 pounder Mk IV AA gun,456,26534
QF 13 pounder 9 cwt 18 pdr gun sleeved down to 3 inch,7867,7845
3-inch M1917 gun,445,1542
3-inch M1918 gun,1125,4652
3-inch anti-aircraft gun M3,356,785221
"3""/23 caliber gun",7869,22321
"3""/50 caliber gun",2453,65851
"3""/70 Mark 26 gun",4523,54425
76-mm air-defense gun M1914/15,7852,584520
76 mm air defense gun M1931,7865,48232
76-mm air-defense gun M1938,445,22215
7.62 cm FlaK L/30,7896,6542
Type 3 80 mm AA Gun,4563,2445
8 cm Luftfahrzeugabwehr-Kanone M5/8 M.P.,789,2521225
Cannone da 77/28 C.A.,785,14220
Škoda 76.5 mm L/50,8955,114552
8 cm PL kanon vz. 37,7855,25215
7.7 cm FlaK L/27,9885,369452
7.7 cm FlaK L/35,985,14862
8.35 cm PL kanon vz. 22,656,12325
85-mm air-defense gun M1939 (52-K),5555,1452
FlaK 16,254,3325
FlaK 18,4452,36853
FlaK 41,552,12358
Type 99 88 mm AA Gun,785,32145587
Canon de 90 mm Modèle 1926,5589,5623
90 mm Gun M1/M2/M3,4456,2563
Cannone da 90/53,7854,255231
9 cm kanon PL vz. 12/20,453,35423
QF 3.7 inch,7854,355412
KS-19,857,1452368
Type 59,4458,1245
Type 14 10 cm AA Gun,423,332544
QF 4 inch Mk V naval gun,7854,3652214
10.5 cm FlaK 38,986,7845
QF 4.5 inch Mk II,6542,987563
"120 mm Gun M1 (""Stratosphere"")",333,21465
Type 3 12 cm AA Gun,222,12245
Type 10 120 mm AA Gun,1235,32565
"5""/25 caliber gun",3584,2314
"5""/38 caliber gun",556,5621
12.8 cm FlaK 40,986,2552325
KS-30,315,15231
QF 5.25 inch Mark I,6851,252
Type 5 15 cm AA Gun,9865,14536
